,q1,q2,q3,q4,q5,q6,q7,q8,q9
0,1,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1
2,0,0,0,1,0,0,1,0,0
3,0,0,1,0,0,0,0,0,1
4,0,1,1,0,0,0,0,1,0
5,0,0,1,0,0,0,0,1,0
6,1,0,0,1,0,0,0,1,1
7,1,1,1,1,1,1,0,1,1
8,1,0,1,1,0,0,0,1,0
9,1,1,1,1,1,0,1,1,1
10,0,1,0,0,0,0,0,1,0
11,0,0,1,0,0,0,1,1,0
12,0,0,0,1,0,0,1,0,1
13,0,0,0,1,0,0,0,1,0
14,1,1,1,1,1,0,0,1,1
15,0,0,1,0,0,0,0,0,1
16,1,1,1,1,1,1,0,1,1
17,0,0,1,0,0,0,0,1,1
18,0,0,1,0,0,0,0,1,1
19,0,1,1,1,0,0,0,1,1
20,0,0,1,0,0,0,0,1,1
21,0,1,1,0,0,0,0,1,0
22,0,1,1,0,0,0,0,1,0
23,0,0,1,0,0,0,1,0,1
24,0,1,1,0,0,0,0,1,0
25,1,1,1,0,1,0,0,1,1
26,0,0,1,0,0,0,1,1,1
27,0,1,0,0,0,0,0,1,0
28,0,1,1,0,0,1,0,1,1
29,0,1,1,0,0,0,0,1,0
30,0,0,1,1,0,0,0,1,0
31,0,1,1,0,0,0,0,1,1
32,0,1,0,0,0,1,0,1,1
33,1,1,0,0,1,1,0,1,1
34,0,0,1,1,0,0,0,1,0
35,0,0,0,0,0,0,1,1,1
36,0,1,0,0,0,0,0,1,1
37,0,1,1,0,0,1,0,1,0
38,0,1,1,1,1,1,0,1,1
39,0,0,1,0,0,0,1,1,0
40,1,1,0,1,1,1,0,1,1
41,1,1,1,1,0,1,1,1,0
42,1,0,1,1,0,0,0,1,1
43,0,0,1,0,0,1,0,1,1
44,1,1,1,1,0,1,0,1,1
45,0,1,1,1,0,0,0,1,0
46,0,0,0,1,0,0,0,1,1
47,1,1,1,1,0,1,0,1,0
48,0,1,1,1,0,0,0,1,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1,0
51,0,0,1,0,0,0,0,1,1
52,0,0,1,0,0,0,0,0,1
53,1,0,1,0,0,0,0,1,1
54,0,0,1,0,0,0,0,0,0
55,0,0,1,0,0,0,0,1,1
56,1,0,1,0,1,0,0,1,0
57,0,0,1,0,0,0,0,1,1
58,0,1,1,1,0,0,0,1,1
59,1,1,1,1,1,0,0,1,0
60,0,0,1,0,0,0,0,1,0
61,0,0,1,0,0,0,0,1,1
62,1,1,1,0,0,1,0,0,1
63,0,1,0,0,0,0,0,0,0
64,0,0,1,0,0,0,0,1,1
65,0,0,0,0,0,0,0,1,1
66,0,0,1,0,0,0,0,1,0
67,0,0,0,0,0,1,0,0,0
68,1,0,1,1,0,1,1,1,1
69,0,0,1,0,0,0,0,1,1
70,0,0,1,0,0,1,0,0,0
71,1,0,1,0,0,1,0,1,1
72,0,0,1,0,0,1,0,0,1
73,1,0,1,1,0,1,0,1,1
74,1,0,1,0,0,0,0,1,1
75,1,0,1,1,0,0,1,1,1
76,1,1,1,0,1,0,0,1,1
77,1,0,0,0,0,0,0,0,1
78,1,1,1,1,0,1,1,0,1
79,1,0,0,0,0,0,0,1,1
80,1,0,1,0,0,0,0,1,1
81,0,1,0,0,0,1,0,1,1
82,1,1,1,0,0,1,0,1,0
83,0,1,1,0,0,0,1,1,0
84,1,0,1,0,0,1,0,0,1
85,1,0,1,1,0,1,0,1,1
86,0,1,1,0,0,0,0,1,1
87,0,1,1,1,1,0,0,1,1
88,1,1,1,1,0,1,0,1,1
89,0,1,1,1,0,0,0,1,1
90,0,0,0,1,0,0,0,1,0
91,1,0,0,0,0,1,0,1,1
92,0,1,0,0,0,0,0,1,1
93,0,1,1,1,0,0,0,0,0
94,0,1,0,0,0,0,1,1,1
95,0,1,1,1,0,0,0,1,1
96,1,1,1,1,0,0,0,1,1
97,0,1,1,1,1,0,0,0,0
98,0,0,1,1,1,0,0,1,1
99,1,0,1,0,0,1,1,1,0
100,1,1,1,1,0,1,0,1,1
101,0,0,1,0,1,0,1,1,1
102,1,1,1,0,1,0,0,1,0
103,1,1,1,1,1,1,0,1,1
104,0,1,0,0,0,0,0,1,1
105,1,0,1,0,0,0,0,1,1
106,0,1,1,0,0,0,0,1,1
107,1,0,1,0,1,0,0,1,1
108,1,1,1,0,0,1,0,1,1
109,0,1,1,1,1,0,0,1,1
110,1,1,1,1,1,1,0,1,1
111,0,0,0,1,0,0,1,0,0
112,1,1,1,1,0,1,0,0,1
113,1,1,0,1,0,0,0,1,1
114,1,1,1,1,1,1,1,1,1
115,0,1,0,0,0,0,1,1,1
116,1,1,1,1,0,0,0,1,0
117,1,1,1,0,0,1,1,1,1
118,1,1,1,1,1,0,0,1,1
119,1,1,1,1,1,0,0,1,1
120,1,1,1,0,0,0,0,1,1
121,1,1,1,1,0,1,1,1,1
122,0,1,0,1,0,0,0,1,1
123,1,1,1,1,1,0,1,1,1
124,1,0,1,1,1,1,0,1,0
125,1,0,1,0,0,1,0,1,1
126,1,1,1,0,0,1,0,0,1
127,1,0,1,1,0,0,1,1,1
128,1,0,1,0,0,1,0,1,0
129,1,0,1,0,1,1,1,1,1
130,1,0,1,1,0,1,0,1,1
131,1,1,1,1,0,1,0,1,1
132,1,0,0,1,0,0,0,1,0
133,0,1,1,0,0,0,1,1,0
134,1,1,1,1,0,1,1,1,1
135,1,1,1,0,0,0,1,0,0
136,1,0,1,0,0,1,0,1,1
137,1,0,1,1,0,0,1,1,1
138,1,1,1,0,0,0,1,1,0
139,1,0,1,1,0,0,1,1,1
140,1,0,1,0,0,0,0,1,0
141,1,1,1,1,1,0,0,1,1
142,1,1,1,0,1,1,0,0,1
143,1,0,1,1,1,1,0,1,1
144,1,1,1,1,0,1,0,1,0
145,1,0,1,0,0,0,1,1,1
146,0,1,1,1,1,1,0,1,1
147,1,0,0,0,0,0,1,1,1
148,0,0,1,0,0,1,1,1,1
149,1,1,1,1,1,1,1,1,1
150,0,0,0,0,0,1,0,1,1
